A-Party Number,Total Calls,Unique B-Parties,Average Call Duration,Call Success Rate,Spam
990099926666,671,491,8145,0.61,0
990013750484,770,497,8752,0.8,0
990065146248,1954,829,1762,0.34,1
990053997772,2056,897,6606,0.33,1
990093443218,1141,549,8348,0.83,0
990078203735,812,645,8853,0.52,0
990006074966,402,246,6873,0.59,0
990033562253,404,435,9325,0.78,0
990037634349,582,685,9803,0.63,0
990040477522,457,735,9322,0.71,0
990039805108,729,485,8709,0.77,0
990058938325,353,514,7574,0.64,0
990049099237,1124,634,11108,0.86,0
990011259967,194,706,8277,0.66,0
990012461185,497,630,7659,0.67,0
990020318516,668,599,9719,0.6,0
990079669736,1015,479,8523,0.72,0
990069450314,1432,757,4755,0.32,1
990099121543,559,383,11105,0.61,0
990073976109,884,1565,5161,0.28,1
990089458997,570,789,9564,0.8,0
990077115027,1088,514,8154,0.7,0
990012443167,876,689,9691,0.64,0
990034738305,796,649,8269,0.57,0
990036047420,715,421,8952,0.65,0
990012943743,715,478,7801,0.65,0
990057327537,718,447,7855,0.64,0
990003275271,707,629,7815,0.6,0
990045145632,740,746,8476,0.79,0
990075355937,713,431,10552,0.72,0
990001940056,1040,716,3807,0.36,1
990026076738,193,508,10481,0.77,0
990062933470,769,414,8570,0.8,0
990056866148,100,484,9679,0.49,0
990032731001,615,582,8665,0.61,0
990091440139,941,350,6998,0.71,0
990066948484,963,654,9258,0.67,0
990054668778,514,797,8545,0.74,0
990028712262,621,296,9085,0.65,0
990017132537,682,478,10321,0.65,0
990077122865,683,474,8338,0.79,0
990009296541,551,330,9250,0.65,0
990008236946,1075,628,8659,0.74,0
990099533426,818,265,8832,0.82,0
990027689982,2012,1345,4554,0.26,1
990018025655,900,737,9570,0.67,0
990032055717,781,263,9969,0.86,0
990067622927,477,602,9187,0.76,0
990089997688,743,446,10676,0.86,0
990038555244,845,673,9892,0.58,0
990020791226,1561,826,4329,0.28,1
990054811317,579,384,9820,0.78,0
990013924307,517,355,8417,0.63,0
990094278245,877,555,8245,0.75,0
990034923635,228,264,9953,0.84,0
990048841745,595,505,9797,0.8,0
990020311796,785,681,8688,0.7,0
990082385315,716,679,10016,0.47,0
990040575291,2327,1623,5035,0.33,1
990068294295,785,576,9475,0.7,0
990017921037,886,434,7542,0.78,0
990058197600,395,805,9613,0.65,0
990064287984,730,552,10201,0.61,0
990024717018,358,610,9619,0.81,0
990040931624,1337,1531,5877,0.24,1
990045031407,609,186,8490,0.67,0
990043129195,1793,1107,4533,0.32,1
990056513979,1276,834,6373,0.2,1
990047914082,414,505,8877,0.77,0
990005793655,838,390,10112,0.85,0
990067454482,594,695,7211,0.68,0
990081866765,522,607,8655,0.71,0
990000128755,753,674,8366,0.66,0
990031436690,2133,1434,4097,0.26,1
990053452231,946,591,8840,0.77,0
990092670081,758,403,10659,0.85,0
990016374196,1431,1323,5727,0.14,1
990027598201,739,764,9060,0.68,0
990046599999,583,920,7093,0.7,0
990058615381,751,368,8866,0.77,0
990028074840,461,327,6002,0.65,0
990002669251,605,554,9319,0.74,0
990003580251,762,656,10265,0.66,0
990084277797,846,552,10040,0.71,0
990061367040,814,419,8225,0.82,0
990087058874,783,496,9485,0.78,0
990022189340,668,594,7498,0.77,0
990086270921,967,587,10613,0.56,0
990057048218,659,671,6932,0.67,0
990049845901,889,405,9062,0.79,0
990017154779,788,459,8515,0.9,0
990074100336,611,475,11233,0.78,0
990060653967,892,417,8851,0.68,0
990056786697,980,432,8408,0.71,0
990028481576,964,492,10288,0.53,0
990014535831,1746,609,3382,0.49,1
990044491976,561,432,8435,0.67,0
990051935063,915,719,9582,0.69,0
990024410121,497,266,9470,0.83,0
990075988466,968,703,8670,0.72,0
990073323674,988,679,7577,0.85,0
990099690248,426,887,8977,0.73,0
990089154612,512,439,7099,0.96,0
990034477345,1178,760,7309,0.68,0
990040480045,1315,1450,3756,0.2,1
990075868864,667,328,8148,0.63,0
990001741948,559,575,8424,0.75,0
990018639233,1233,898,9890,0.72,0
990087233487,773,373,7538,0.68,0
990098983254,704,254,7925,0.87,0
990075524595,1068,469,10009,0.7,0
990084709708,754,593,7531,0.76,0
990006460838,915,579,10120,0.71,0
990045106723,692,512,7752,0.56,0
990037342572,977,460,10213,0.56,0
990007604905,857,583,8666,0.66,0
990070764832,1110,639,9513,0.72,0
990072745956,380,349,8674,0.77,0
990080332756,289,641,9786,0.55,0
990017830499,769,418,8128,0.58,0
990038511807,424,809,8316,0.7,0
990056076221,1458,953,5579,0.27,1
990002708351,686,452,10831,0.76,0
990082852115,758,751,8088,0.61,0
990056792335,873,751,10770,0.57,0
990046762877,570,636,7604,0.58,0
990095410914,491,539,8327,0.57,0
990071309693,2236,615,4203,0.37,1
990020954193,718,623,7094,0.64,0
990055632267,1059,616,10057,0.7,0
990070333850,1346,1622,5222,0.2,1
990010320779,1995,1377,5772,0.38,1
990080355685,553,335,9256,0.65,0
990088565950,1073,266,8779,0.56,0
990014746169,522,486,8546,0.83,0
990074014003,190,545,9760,0.56,0
990013735150,802,496,7303,0.62,0
990059054009,1847,1083,5403,0.3,1
990016695983,697,825,7828,0.6,0
990073416197,869,500,8040,0.7,0
990022688964,649,628,10209,0.48,0
990031229604,875,828,9301,0.58,0
990051371015,476,352,10253,0.7,0
990073756921,1082,641,8932,0.76,0
990076468555,862,215,10048,0.77,0
990061785606,839,673,8321,0.78,0
990025149119,423,527,8185,0.64,0
990082016226,539,329,10297,0.7,0
990020012716,691,542,9400,0.72,0
990014660238,471,433,10045,0.55,0
990089709984,1949,1025,4355,0.26,1
990041398673,1128,602,8086,0.89,0
990080626197,758,628,8808,0.68,0
990067784646,448,458,8160,0.81,0
990053327498,939,363,8841,0.72,0
990069086096,869,539,6065,0.56,0
990005526053,442,342,8264,0.78,0
990089024384,446,512,9336,0.61,0
990083198369,904,674,8196,0.67,0
990089467170,752,887,9767,0.47,0
990048062928,545,565,7763,0.77,0
990069733852,640,318,9304,0.66,0
990040174816,390,544,8440,0.91,0
990003542856,638,863,8557,0.63,0
990013049350,799,497,7877,0.51,0
990074702496,325,645,8757,0.73,0
990033311769,1148,547,8403,0.83,0
990055973960,676,492,9381,0.68,0
990059940544,492,486,8469,0.74,0
990086587866,735,275,8515,0.91,0
990034336159,563,431,8389,0.66,0
990016970964,419,472,7574,0.61,0
990098435907,478,560,8318,0.71,0
990015630002,1974,1324,3915,0.28,1
990034651799,728,621,6300,0.68,0
990086578090,512,646,9241,0.58,0
990017649776,1244,442,4572,0.33,1
990048066608,1290,508,3586,0.38,1
990025107166,565,619,10941,0.78,0
990011204398,594,625,9462,0.77,0
990042023075,1694,1388,4735,0.25,1
990095435444,2249,619,5890,0.37,1
990009106692,395,633,8011,0.78,0
990053813562,976,521,9176,0.68,0
990044730983,397,363,8660,0.59,0
990017422920,1076,408,8142,0.63,0
990019177202,805,629,8362,0.75,0
990096782680,832,653,8568,0.73,0
990081696727,479,533,8798,0.64,0
990038896691,630,519,8418,0.74,0
990084375178,821,605,9958,0.7,0
990084068139,664,578,8472,0.66,0
990097361719,2181,1537,6168,0.26,1
990075448843,972,492,8319,0.75,0
990090363838,897,578,9833,0.73,0
990064151933,422,436,8497,0.66,0
990022986005,1633,677,3939,0.27,1
990041386425,1030,692,9071,0.82,0
990041077012,796,648,9004,0.8,0
990053188571,976,620,9311,0.62,0
990049587120,171,740,7958,0.75,0
990009396020,550,454,9003,0.74,0
990012396892,729,531,10017,0.69,0
990028145577,934,468,9730,0.79,0
990012239869,406,526,10440,0.73,0
990000909593,1153,371,9884,0.73,0
990042591554,716,621,9170,0.76,0
990097692414,536,268,9882,0.68,0
990097726582,923,402,8808,0.7,0
990098168790,594,480,8692,0.78,0
990056356844,655,333,10060,0.73,0
990084998032,872,497,9467,0.91,0
990001337190,1223,487,10817,0.7,0
990042401760,1067,371,8384,0.64,0
990014354777,664,422,10264,0.6,0
990058121462,910,754,8693,0.66,0
990007305759,982,335,9732,0.76,0
990028174428,708,589,8757,0.75,0
990013930048,518,307,10047,0.72,0
990079736436,847,509,8995,0.8,0
990081645635,664,638,7510,0.7,0
990006747628,411,603,8182,0.87,0
990035396426,671,758,10405,0.7,0
990096899641,969,574,7260,0.84,0
990079930610,1058,729,9903,0.64,0
990090053438,670,440,8966,0.66,0
990024163638,742,308,9922,0.64,0
990072413951,883,605,9153,0.83,0
990021949551,522,427,9483,0.6,0
990057729224,399,712,9971,0.72,0
990076378010,515,308,8234,0.84,0
